Welches Jahr hat die Energiestrategie im Namen?;2050;2020;2007;2100
Wozu dient die Energiestrategie 2050?;Senkung des Energieverbrauchs;Erhöhung des Energieverbrauchs;Senkung der Energieeffizienz;Erneuerbare Energien nicht fördern
Was wird verboten zu bauen?;Kernkraftwerke;Kernfusionskraftwerke;Kernschmelzungskraftwerke;Kohlekraftwerke
Was kann die Schweiz reduzieren?;Abhängigkeit importierter fossilen Energien;Exportieren fossiler Energien;Abhängigkeit importierter erneuerbarer Energien;Exportieren erneuerbarer Energien  
Was führte die Schweiz zum Ausstieg aus der Kernenergie?;Unfall in Fukushima, Japan 2011;Unfall in Tschernobyl, Russland 1986;Deutschlands Ausstieg aus der Kernenergie;Frankreichs Förderung von Kernenergie 
Gab es schonmal eine Energiestrategie?;Ja, Energiestrategie 2007;Nein; Ja, Energiestrategie 1980;Ja Energiestrategie 2018
Zu den Gebäuden, was wurde verstärkt?; Das Gebäudeprogramm zur Förderung von energetischen Sanierungen;Nichts; Die Gebäude; Das Gebäudeprogramm zur Förderung von Sanierungen
Von was können sich Strom-Grossverbraucher befreien?;Von der CO2-Abgabe und dem Netzzuschlag; Vom Netzzuschlag; Von nichts; Von der CO2-Abgabe, dem Netzzuschlag und den Steuern
Wie können sich Strom-Grossverbraucher befreien?;Verpflichtung zur Steigerung der Stromeffizienz, Verminderung der CO2-Emissionen; Verpflichtung zur Steigerung der CO2-Emissionen, Verminderung der Stromeffizienz; Mehr Steuern zahlen; Weniger Strom nutzen
Was wird mit der Energiestrategie 2050 geschaffen?;Arbeitsplätze und Investitionen;Arbeitsplätze; Investitionen; Nichts wird geschaffen
Wieviel Gramm CO2/km dürfen bis 2020 neu in Verkehr gesetzte Personenwagen ausstossen?;95 g CO2/km;120 g CO2/km;70 g CO2/km;100 g CO2/km
Wieviel Gramm CO2/km dürfen bis 2020 neu in Verkehr gesetzte Lieferwagen und leichte Sattelschlepper ausstossen?;147 g CO2/km;150 g CO2/km;120 g CO2/km; 100 g CO2/km
Was für Programme und Projekte unterstützen die wettbewerblichen Ausschreibungen?;Sparsamer Stromverbrauch im Industrie-/ Dienstleistungsbereich sowie Haushalten;Sparsamer Stromverbrauch im Industriebereich;Sparsamer Stromverbrauch im Diesntleistungsbereich/Haushalten; Sparsamer Stromverbrauch im Industrie-/Dienstleistungsbereich
